,school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,G3,grade_level
0,GP,F, 18 ,U,GT3,A,4,4,at_home,teacher,course,mother,,2.0,0,yes,no,no,no,yes,yes,no,no,4,3.0,4,1,1,3.0,4,nan,11.0,11,medium
1,GP,F,17,U,GT3,T,1,1,at_home,other,course,father,1.0,2.0,0,no,yes,no,no,no,yes,yes,no,5,3.0,3,1,1,,?,9.0,11.0,11,medium
2,GP,F,15,U,LE3,T,1,1,at_home,other,other,mother,1.0,2.0,0, yes , no , no , no , yes , yes , yes , no ,4,3.0,2,2,3,3.0,6,12.0,13.0,12,medium
3,GP,F,15,U,GT3,T,4,2,health,services,home,mother,1.0,3.0,0,no,yes,no,yes,yes,yes,yes,yes,3,2.0,2,1,1,5.0,0,14.0,14.0,14,HIGH
4,GP,F,16,U,GT3,T,3,3,other,other,home,father,1.0,,0,no,yes,no,no,yes,yes,no,no,4,3.0,2,1,2,,0,11.0,13.0,13,medium
5,GP,M,16,U,LE3,T,4,3,services,other,reputation,mother,1.0,2.0,0,no,yes,no,yes,yes,yes,yes,no,5,4.0,2,1,2,5.0,6,12.0,12.0,13,medium
6,GP,M,16,U,LE3,T,2,2,other,other,home,mother,1.0,2.0,0,NO,NO,NO,NO,YES,YES,YES,NO,4,4.0,4,1,1,3.0,0,13.0,12.0,13,medium
7,GP,F,17,U,GT3,A,4,4,other,teacher,home,mother,2.0,2.0,0,YES,YES,NO,NO,YES,YES,NO,NO,4,1.0,4,1,1,1.0,2,10.0,13.0,13,medium
8,GP,M,15,U,LE3,A,3,2,services,other,home,mother,1.0,2.0,0,no,yes,no,no,yes,yes,yes,no,4,2.0,2,1,1,1.0,0,15.0,16.0,17,high
9,GP,M,15,U,GT3,T,3,4,other,other,home,mother,1.0,2.0,0,no,yes,no,yes,yes,yes,yes,no,5,5.0,1,1,1,5.0,0,12.0,12.0,13,medium
10,GP,F,15,U,GT3,T,4,4,teacher,health,reputation,mother,1.0,2.0,0,no,yes,no,no,yes,yes,yes,no,3,,3,1,2,,2,,14.0,14,HIGH
11,GP,F, 15 ,U,GT3,T,2,1,services,other,reputation,father,3.0,3.0,0,,,,,,,,,5,2.0,2,1,1,4.0,0,10.0,12.0,13,medium
12,GP,M,15,U,LE3,T,4,4,health,services,course,father,1.0,1.0,0,NO,YES,NO,YES,YES,YES,YES,NO,4,3.0,3,1,3,5.0,0,12.0,13.0, 12 ,medium
13,GP,M, 15 ,U,GT3,T,4,3,teacher,other,course,mother,2.0,2.0,0,no,yes,no,no,yes,yes,yes,no,5,4.0,3,1,2,3.0,0,12.0,12.0,13,MEDIUM
14,GP,M,15,U,GT3,A,2,2,other,other,home,other,,3.0,0,,,,,,,,,4,5.0,2,1,1,3.0,0,14.0,14.0,15,HIGH
15,GP,F,16,U,GT3,T,4,4,health,other,home,mother,1.0,1.0,0,no,yes,no,no,yes,yes,yes,no,4,,4,1,2,2.0,6,17.0,17.0,17,high
16,GP,F,16,U,GT3,T,4,4,services,services,reputation,mother,1.0,3.0,0,NO,YES,NO,YES,YES,YES,YES,NO,3,,3,1,2,2.0,10,13.0,,14,HIGH
17,GP,F, 16 ,U,GT3,T,3,3,other,other,reputation,mother,3.0,,0,yes,yes,no,yes,yes,yes,no,no,5,3.0,2,1,1,4.0,2,13.0,14.0,14,high
18,GP,M,17,U,GT3,T,3,2,services,services,course,mother,1.0,1.0,3,no,yes,yes,yes,yes,yes,yes,no,5,5.0,5,2,4,,2,8.0,8.0,7,LOW
19,GP,M,16,U,LE3,T,4,3,health,other,home,father,1.0,1.0,0,no,no,no,yes,yes,yes,yes,no,3,,3,1,3,5.0,6,12.0,12.0,12,medium
20,GP,M,15,U,GT3,T,4,3,teacher,other,reputation,mother,1.0,2.0,0,no,no,no,no,yes,yes,yes,no,4,4.0,1,1,1,1.0,0,12.0,13.0,14,high
21,GP,M,15,U,GT3,T,4,4,health,health,other,father,1.0,1.0,0,no,yes,yes,no,yes,yes,yes,no,5,4.0,2,1,1,5.0,0,11.0,12.0,12,medium
22,GP,M,16,U,LE3,T,4,2,teacher,other,course,mother,1.0,2.0,0,NO,NO,NO,YES,YES,YES,YES,NO,4,5.0,1,1,3,5.0,0,12.0,13.0,14,high
23,GP,M, 16 ,U,LE3,T,2,2,other,other,reputation,mother,2.0,2.0,0,no,yes,no,yes,yes,yes,yes,no,5,4.0,4,2,4,5.0,2,10.0,10.0,10,medium
24,GP,F,15,R,GT3,T,2,4,services,health,course,mother,1.0,3.0,0,YES,YES,NO,YES,YES,YES,YES,NO,4,,2,1,1,5.0,2,10.0,11.0,10,medium
25,GP,F,16,U,GT3,T,2,2,services,services,home,mother,1.0,1.0,0, no , yes , no , no , no , yes , yes , no ,1,2.0,2,1,3,5.0,6,10.0,11.0,12,medium
26,GP,M,15,U,GT3,T,2,2,other,other,home,mother,1.0,1.0,0, no , yes , no , no , yes , yes , yes , no ,4,2.0,2,1,2,5.0,8,11.0,12.0,12,medium
27,GP,M,15,U,GT3,T,4,2,health,services,other,mother,1.0,,0,NO,NO,NO,NO,YES,YES,YES,NO,2,2.0,4,2,4,1.0,0,11.0,11.0,11,medium
28,GP,M,16,U,LE3,A,3,4,services,other,home,mother,1.0,2.0,0,yes,yes,yes,yes,yes,yes,yes,no,5,3.0,3,1,1,5.0,2,12.0,12.0,13,medium
29,GP,M,16,U,GT3,T,4,4,teacher,teacher,home,mother,1.0,2.0,0,no,yes,yes,yes,yes,yes,yes,yes,4,4.0,5,5,5,5.0,4,12.0,11.0,12,MEDIUM
30,GP,M,15,U,GT3,T,4,4,health,services,home,mother,1.0,2.0,0,no,yes,yes,no,no,yes,yes,no,5,4.0,2,3,4,5.0,?,10.0,11.0,11,MEDIUM
31,GP,M,15,U,GT3,T,4,4,services,services,reputation,mother,,2.0,0,NO,YES,NO,YES,YES,YES,YES,NO,4,3.0,1,1,1,5.0,2,15.0,15.0,15,high
