,fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,free_sulfur_dioxide,total_sulfur_dioxide,density,pH,sulphates,alcohol,quality,wine_style
0,7.4,0.7,0.0,1.9,0.076,11.0,34.0,0.9978,3.51,0.56,9.4, 5 ,light
1,7.8,0.88,0.0,2.6,0.098,25.0,67.0,0.9968,3.2,0.68,9.8,5,
2,7.8,0.76,0.04,2.3,0.092,15.0,54.0,0.997,3.26,0.65,9.8,5,medium
3,11.2,0.28,0.56,1.9,0.075,17.0,60.0,?,3.16,0.58,9.8,6,medium
4,7.4,0.7,0.0,1.9,0.076,11.0,34.0,0.9978, 3.51 ,0.56,9.4,5,light
5,7.4,0.66,0.0,1.8,0.075,13.0,40.0,0.9978,nan,0.56,9.4,5,light
6,7.9,0.6,0.06,1.6,0.069,15.0,59.0,0.9964,3.3,0.46,9.4,5,light
7,7.3,0.65,0.0,1.2,0.065,15.0,21.0,0.9946,3.39,0.47,10.0,7,medium
8,7.8,0.58,0.02,nan,0.073,9.0,90.0,0.9968,3.36,2.28,23.75,7,strong
9,7.5,0.5,0.36,6.1,0.071,17.0,102.0,997.8000000000001,3.35,0.8,10.5,5,MEDIUM
10,6.7,0.58,0.08,nan,0.097,15.0,65.0,0.9959,nan,0.54,9.2,5,light
11,7.5,0.5,0.36,6.1,0.071,17.0,102.0,0.9978,3.35,0.8,10.5,5,
12,5.6,0.615,0.0,1.6,0.089,16.0,59.0,0.9943,3.58,0.52,9.9,5,medium
13,7.8,0.61,0.29,1.6,0.114,9.0,29.0,0.9974,3.26,1.56,9.1, 5 ,light
14,8.9,0.62,0.18,3.8,0.176,52.0,145.0,0.9986,3.16,0.88,9.2,5,light
15,8.9,0.62,0.19,3.9,0.17,51.0,148.0,?,3.17,0.93,9.2,5,
16,8.5,0.28,0.56,1.8,0.092,35.0,103.0,0.9969,3.3,0.75,10.5, 7 , medium 
17,,0.56,0.28,,0.368,16.0,56.0,0.9968,3.11,1.28,9.3,5,light
18,7.4,0.59,0.08,4.4,0.086,6.0,29.0,0.9974,3.38,0.5,9.0,4,light
19,7.9,0.32,0.51,1.8,0.341,17.0,56.0,0.9969,3.04,1.08,9.2,6,light
20,8.9,0.22,0.48,1.8,0.077,29.0,60.0,0.9968,3.39,0.53,9.4,6,light
21,7.6,0.39,0.31,2.3,0.082,23.0,71.0,0.9982, 3.52 ,0.65,9.7, 5 ,MEDIUM
22,7.9,0.43,0.21,1.6,0.106,10.0,37.0,0.9966,3.17,0.91,9.5,5,light
23,8.5,0.49,0.11,,0.084,9.0,67.0,0.9968,3.17,0.53,9.4,5,light
