Attribute1,Attribute2,Attribute3,Attribute4,Attribute5,Attribute6,Attribute7,Attribute8,Attribute9,Attribute10,Attribute11,Attribute12,Attribute13,Attribute14,Attribute15,Attribute16,Attribute17,Attribute18,Attribute19,Attribute20,Attribute21,Attribute22
A11,6.0,A34,A43,1169.0, A65 ,A75,,A93,A101,4.0,A121,67.0,A143,a152,2.0,,1.0,a192,A201,6.0,
A12,48.0,a32,a43,5951.0, a61 ,a73,2.0,A92,A101,2.0,a121,22.0,,A152,1.0,,1.0,a191,A201,48.0,
A14,12.0,A34,A46,2096.0, A61 ,A74,2.0,A93,A101,3.0,A121,49.0,A143,A152,1.0,a172,2.0,A191,A201,12.0,
a11,42.0,A32,A42,7882.0, A61 ,a74,2.0,A93,A103,4.0,a122,45.0,A143,A153,1.0,,2.0,A191,A201,42.0,
a11,24.0,A33,A40,4870.0, A61 ,A73,3.0,A93,A101,4.0,A124,53.0,,a153,2.0,A173,2.0,A191,A201,24.0,99
A14,36.0,a32,a46,9055.0, a65 ,A73,2.0,a93,A101,4.0,A124,35.0,a143,A153,1.0,A172,2.0,A192,A201,36.0,99
A14,24.0,A32,A42,2835.0, A63 ,A75,3.0,A93,A101,,A122,53.0,A143,a152,1.0,A173,1.0,A191,A201,24.0,
a12,36.0,A32,,6948.0, A61 ,A73,,A93,A101,2.0,A123,35.0,A143,A151,1.0,A174,1.0,A192,A201,36.0,
a14,12.0,A32,A43,3059.0, A64 ,A74,2.0,A91,A101,4.0,A121,61.0,A143,A152,1.0,A172,1.0,A191,A201,12.0,
a12,30.0,A34,A40,5234.0, A61 ,a71,4.0,,A101,2.0,A123,28.0,A143,A152,2.0,A174,1.0,A191,A201,30.0,
,12.0,,A40,, a61 ,A72,3.0,A92,A101,1.0,A123,25.0,A143,A151,1.0,,1.0,A191,A201,12.0,
A11,48.0,A32,A49,4308.0, A61 ,A72,3.0,a92,A101,4.0,a122,24.0,A143,A151,1.0,A173,1.0,A191,A201,48.0,
A12,12.0,A32,A43,1567.0, A61 ,a73,1.0,A92,A101,1.0,A123,22.0,A143,A152,1.0,A173,1.0,A192,A201,12.0,
A11,,A34,a40,1199.0, A61 ,A75,4.0,A93,A101,4.0,A123,60.0,A143,A152,2.0,A172,1.0,A191,A201,,
a11,15.0,a32,a40,1403.0, A61 ,A73,2.0,A92,A101,4.0,a123,28.0,A143,A151,1.0,A173,1.0,A191,,15.0,
A11,24.0,A32,A43,1282.0, A62 ,a73,4.0,A92,A101,,A123,32.0,A143,A152,1.0,A172,1.0,A191,A201,24.0,
A14,24.0,A34,A43,2424.0, nan ,A75,4.0,a93,A101,,A122,53.0,A143,A152,2.0,A173,1.0,A191,,24.0,
A11,30.0,A30,A49,8072.0, A65 ,A72,2.0,A93,A101,3.0,a123,25.0,A141,,3.0,A173,1.0,A191,A201,30.0,
a12,24.0,,A41,12579.0, a61 ,A75,4.0,A92,,2.0,A124,44.0,A143,A153,1.0,A174,1.0,a192,a201,24.0,
A14,,A32,A43,3430.0, A63 ,a75,3.0,A93,A101,2.0,A123,31.0,A143,A152,1.0,A173,2.0,A192,A201,,
A14,9.0,A34,a40,, A61 ,A73,4.0,A93,A101,4.0,A123,48.0,A143,A152,3.0,A173,1.0,a192,A201,9.0, 
A11,6.0,a32,A43,2647.0, A63 ,A73,2.0,A93,A101,,,44.0,A143,A151,1.0,A173,2.0,a191,a201,6.0,
A11,10.0,A34,A40,2241.0, A61 ,A72,1.0,A93,A101,3.0,a121,48.0,A143,A151,2.0,A172,2.0,A191,a202,10.0,
A12,12.0,A34,A41,1804.0, A62 ,A72,3.0,A93,A101,,A122,44.0,A143,A152,1.0,A173,,a191,A201,12.0,
A14,10.0,A34,A42,2069.0, a65 ,A73,2.0,A94,A101,1.0,A123,26.0,A143,A152,2.0,A173,1.0,A191,A202,10.0,
